"B-Datum prve registracije vozila";"2A-Datum prve registracije vozila v SLO";"1K-Oznaka potrdila o skladnosti";"Datum statusa vozila";"Status vozila (id)";"Status vozila (opis)";"Izvajalna enota prve registracije";"4A-Registrsko obmocje tablice prve registracije";"4A-Podvrsta tablice prve registracije";"C-Starost uporabnika vozila";"C-Ali je uporabnik pravna ali fizicna oseba";"C-Spol uporabnika (ce gre za fizicno osebo)";"C-Ali je uporabnik tudi lastnik vozila";"C1.3-Upravna enota uporabnika vozila (oznaka)";"C1.3-Upravna enota uporabnika vozila (opis)";"C1.3-Obcina uporabnika vozila (oznaka)";"C1.3-Obcina uporabnika vozila (opis)";"C2-Starost lastnika vozila";"C2-Ali je lastnik pravna ali fizicna oseba";"C2-Spol lastnika (ce gre za fizicno osebo)";"D.1-Znamka";"D.2-Tovar. oznaka";"D.3-Komerc. oznaka";"D.4.2-Drzava (opis)";"D.4.2-Drzava (koda)";"D.5-Datum izdaje COC dokumenta oz. prve registracije";"E-VIN";"E.1-Identifikacijska koda";"F.1-Najvecja tehnicno dovoljena masa vozila";"F.2-Najvecja dovoljena masa vozila pri registraciji";"F.3-Najvecja dovoljena masa skupine vozil pri registraciji";"G-Masa vozila";"J-Kategorija in vrsta vozila (oznaka)";"J-Kategorija in vrsta vozila (opis)";"K-Homologacijska oznaka vozila";"L-Stevilo osi";"M-Medosje";"M.1-Zadnji previs";"N-Razporeditev najv. tehnicno dovoljene mase na osi";"N.1-Dovoljene osne obremenitve";"O.1.1-Priklopnik";"O.1.2-Polpriklopnik";"O.1.3-Priklopnik s centralno osjo";"O.2-Nezavirano priklopno vozilo";"O.3-Navpicna obremenitev vlecne naprave / sedla";"O.4-Tlak v napajalnem vodu zavornega sistema";"P.1.1-Delovna prostornina";"P.1.2-Nazivna moc";"P.1.3-Vrsta goriva (opis)";"P.1.3-Vrsta goriva (oznaka)";"P.1.4-Nazivna vrtilna frekvenca";"P.1.5-Oznaka motorja";"P.2.1-Tip";"P.2.2-Nazivna trajna moc";"P.2.3-Delovna napetost";"P.2.4-Pogonske baterije";"P.2.5-Oznaka motorja";"Q-Razmerje moc/masa (samo za motorna kolesa)";"R-Barva vozila (oznaka)";"R-Barva vozila (opis)";"S.1-Stevilo sedezev (vkljucno z vozniskim)";"S.2-Stevilo stojisc";"T-Najvisja hitrost";"U.1-V mirovanju";"U.2-Pri vrtilni frekvenci motorja";"U.3-V voznji";"V.1-CO";"V.10-Vrtilna frekvenca prostega teka, nizka";"V.10.1-Vsebina CO";"V.10.2-Temperatura olja";"V.11-Vrtilna frekvenca prostega teka, visoka";"V.11.1-Vsebina CO";"V.11.2-Vrednost Lambda";"V.11.3-Temperatura olja";"V.2-HC";"V.3-Nox";"V.4-HC + Nox";"V.5-Delci pri dizel motorjih";"V.6-Korigiran absorpcijski koeficient pri dizel motorjih";"V.6.1-Vrtilna frekvenca prostega teka";"V.6.2-Najvisja vrtilna frekvenca motorja";"V.6.3-Temperatura olja";"V.7-CO2";"V.8-Kombinirana poraba goriva";"V.9-Podatek o okoljevarstveni kategoriji vozila";"X-Oblika nadgradnje (oznaka)";"X-Oblika nadgradnje (opis)";"X.1-Dodatni opis nadgradnje";"X.2-Homologacijska oznaka zascitne konstrukcije";"Y.1-Dolzina";"Y.2-Sirina";"Y.3-Visina";"Z.1-Dovoljene pnevmatike in platisca";"Z.2-Homologacijska oznaka vlecne naprave";"Z.2.1-D Ð vrednost";"Datum izdaje potrdila o skladnosti";"Okoljevarstvena oznaka";"Pogonska os z zracnim vzmetenjem ali priznanim ekvivalentom";"8B-Namen vozila";"Komerc. oznaka  do prvega /";"5A-Leto izdelave"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15EE02";"JUKE / 1.2 / 16V";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFEAF15U7421721";;"1710";;"2960";"1362";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"930/835";;"0";"1250,0";"639";"75";;"1197";"85";"Bencin";"P";"4500";"HRA2";;"0";;;;;"E0D";"kovinski - BELA - TEMNA";"5";;"178";"76";"3375";"70";"0,264";"790";"0";"103";;"0";"0,999";"101";"0,0524";"0,0332";;"0,0018";;;;;"128";"5,7";"715/2007*2016/646W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 82 S, 6.5 J 16 40215/55 R17 82 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15EE02";"JUKE / 1.2 / 16V";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFEAF15U7423713";;"1710";;"2960";"1362";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"930/835";;"0";"1250,0";"639";"75";;"1197";"85";"Bencin";"P";"4500";"HRA2";;"0";;;;;"E0D";"kovinski - BELA - TEMNA";"5";;"178";"76";"3375";"70";"0,264";"790";"0";"103";;"0";"0,999";"101";"0,0524";"0,0332";;"0,0018";;;;;"128";"5,7";"715/2007*2016/646W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 82 S, 6.5 J 16 40215/55 R17 82 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15EE02";"JUKE / 1.2 / 16V";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFEAF15U7422738";;"1710";;"2960";"1362";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"930/835";;"0";"1250,0";"639";"75";;"1197";"85";"Bencin";"P";"4500";"HRA2";;"0";;;;;"E9M";"kovinski - ÈRNA - SREDNJA";"5";;"178";"76";"3375";"70";"0,264";"790";"0";"103";;"0";"0,999";"101";"0,0524";"0,0332";;"0,0018";;;;;"128";"5,7";"715/2007*2016/646W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 82 S, 6.5 J 16 40215/55 R17 82 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15EE02";"JUKE / 1.2 / 16V";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFEAF15U7424454";;"1710";;"2960";"1362";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"930/835";;"0";"1250,0";"639";"75";;"1197";"85";"Bencin";"P";"4500";"HRA2";;"0";;;;;"E9M";"kovinski - ÈRNA - SREDNJA";"5";;"178";"76";"3375";"70";"0,264";"790";"0";"103";;"0";"0,999";"101";"0,0524";"0,0332";;"0,0018";;;;;"128";"5,7";"715/2007*2016/646W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 82 S, 6.5 J 16 40215/55 R17 82 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15DD04";"JUKE / 1.5 / DCI";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFCAF15U7421677";;"1770";;"3020";"1396";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"985/830";;"0";"1250,0";"673";"75";;"1461";"81";"Dizel";"D";"4000";"K9K";;"0";;;;;"E7D";"kovinski - SIVA - TEMNA";"5";;"175";"74";"3000";"71";"0,063";;;;"850";;;;;"0,0184";"0,0396";"0,0001";"0,51";"850";"4950";"-30/150";"104";"4";"715/2007*2015/45W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 84 S, 6.5 J 16 40215/55 R17 84 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15DD04";"JUKE / 1.5 / DCI";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFCAF15U7423795";;"1770";;"3020";"1423";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"985/830";;"0";"1250,0";"673";"75";;"1461";"81";"Dizel";"D";"4000";"K9K";;"0";;;;;"E7B";"kovinski - SIVA - SVETLA";"5";;"175";"74";"3000";"71";"0,063";;;;"850";;;;;"0,0184";"0,0396";"0,0001";"0,51";"850";"4950";"-30/150";"104";"4";"715/2007*2015/45W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 84 S, 6.5 J 16 40215/55 R17 84 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15DD04";"JUKE / 1.5 / DCI";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFCAF15U7422900";;"1770";;"3020";"1423";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"985/830";;"0";"1250,0";"673";"75";;"1461";"81";"Dizel";"D";"4000";"K9K";;"0";;;;;"E0D";"kovinski - BELA - TEMNA";"5";;"175";"74";"3000";"71";"0,063";;;;"850";;;;;"0,0184";"0,0396";"0,0001";"0,51";"850";"4950";"-30/150";"104";"4";"715/2007*2015/45W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 84 S, 6.5 J 16 40215/55 R17 84 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15DD04";"JUKE / 1.5 / DCI";"Združeno kraljestvo";"GBR";"27.02.2018";"SJNFCAF15U7420436";;"1770";;"3020";"1423";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"985/830";;"0";"1250,0";"673";"75";;"1461";"81";"Dizel";"D";"4000";"K9K";;"0";;;;;"E9M";"kovinski - ÈRNA - SREDNJA";"5";;"175";"74";"3000";"71";"0,063";;;;"850";;;;;"0,0184";"0,0396";"0,0001";"0,51";"850";"4950";"-30/150";"104";"4";"715/2007*2015/45W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 84 S, 6.5 J 16 40215/55 R17 84 S, 7.0 J 17 47";;;"27.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15DD04";"JUKE / 1.5 / DCI";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFCAF15U7419919";;"1770";;"3020";"1420";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"985/830";;"0";"1250,0";"673";"75";;"1461";"81";"Dizel";"D";"4000";"K9K";;"0";;;;;"E7D";"kovinski - SIVA - TEMNA";"5";;"175";"74";"3000";"71";"0,063";;;;"850";;;;;"0,0184";"0,0396";"0,0001";"0,51";"850";"4950";"-30/150";"104";"4";"715/2007*2015/45W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 84 S, 6.5 J 16 40215/55 R17 84 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15DD04";"JUKE / 1.5 / DCI";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFCAF15U7424061";;"1770";;"3020";"1420";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"985/830";;"0";"1250,0";"673";"75";;"1461";"81";"Dizel";"D";"4000";"K9K";;"0";;;;;"E7B";"kovinski - SIVA - SVETLA";"5";;"175";"74";"3000";"71";"0,063";;;;"850";;;;;"0,0184";"0,0396";"0,0001";"0,51";"850";"4950";"-30/150";"104";"4";"715/2007*2015/45W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 84 S, 6.5 J 16 40215/55 R17 84 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
"28.02.2018";"28.02.2018";"SA";"06.03.2018";"2";"odjavljeno";"AVTOCENTER AŠ d.o.o. PE Avto Šerbinek";"MARIBOR";"NT";;"P";;"DA";"064";"MARIBOR";"070";"Maribor";;"P";;"NISSAN";"F15DD04";"JUKE / 1.5 / DCI";"Združeno kraljestvo";"GBR";"28.02.2018";"SJNFCAF15U7424080";;"1770";;"3020";"1420";"M1";"osebni avtomobil";"e11*2007/46*0132*24";"2";"2530";"750,0";;"985/830";;"0";"1250,0";"673";"75";;"1461";"81";"Dizel";"D";"4000";"K9K";;"0";;;;;"E0D";"kovinski - BELA - TEMNA";"5";;"175";"74";"3000";"71";"0,063";;;;"850";;;;;"0,0184";"0,0396";"0,0001";"0,51";"850";"4950";"-30/150";"104";"4";"715/2007*2015/45W (EURO 6b)";"AF";"veènamensko vozilo";"-";;"4135";"1765";"1565";"205/60 R16 84 S, 6.5 J 16 40215/55 R17 84 S, 7.0 J 17 47";;;"28.02.2018";"EURO 6";;;"JUKE ";"2018"
